# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.012255      	(4.830230e-05 8.514482e-05 3.980772e+01)	(4.411240e-05 4.738731e-05 3.937373e+01)	(4.189899e-06 3.775751e-05 4.339865e-01)
0.02451       	(-6.483402e-05 -1.502151e-04 -5.383769e+00)	(-6.011321e-05 -1.631618e-04 -5.628258e+00)	(-4.720808e-06 1.294673e-05 2.444885e-01)
0.036765      	(9.319012e-06 4.261526e-05 8.576085e-01)	(7.170253e-06 3.403175e-05 7.378327e-01)	(2.148760e-06 8.583519e-06 1.197758e-01)
0.04902       	(-2.052302e-05 -3.657125e-05 1.813270e-01)	(-2.402197e-05 -4.327842e-05 7.879048e-02)	(3.498948e-06 6.707174e-06 1.025365e-01)
0.061275      	(7.670474e-06 3.146598e-05 8.667767e-01)	(2.582220e-06 2.331050e-05 7.833801e-01)	(5.088254e-06 8.155475e-06 8.339667e-02)
0.07353       	(-1.542242e-06 -3.214701e-06 7.457260e-01)	(-7.477320e-06 -1.052288e-05 6.709108e-01)	(5.935078e-06 7.308178e-06 7.481524e-02)
0.085785      	(2.824550e-06 6.882224e-06 7.529030e-01)	(-3.562217e-06 5.978075e-07 6.863279e-01)	(6.386767e-06 6.284417e-06 6.657512e-02)
0.09804       	(2.980770e-06 4.081312e-06 7.196320e-01)	(-3.994967e-06 -2.008395e-06 6.588306e-01)	(6.975737e-06 6.089707e-06 6.080141e-02)
0.110295      	(4.238614e-06 7.517727e-06 6.991563e-01)	(-3.128213e-06 1.534671e-06 6.430669e-01)	(7.366827e-06 5.983055e-06 5.608937e-02)
0.12255       	(3.401550e-06 5.258119e-06 6.791822e-01)	(-4.182268e-06 -5.102617e-07 6.268665e-01)	(7.583819e-06 5.768381e-06 5.231568e-02)
0.134805      	(3.640713e-06 6.003222e-06 6.632262e-01)	(-4.064091e-06 4.281089e-07 6.140723e-01)	(7.704804e-06 5.575113e-06 4.915387e-02)
0.14706       	(3.375223e-06 5.522802e-06 6.495844e-01)	(-4.389979e-06 1.125370e-07 6.031257e-01)	(7.765203e-06 5.410265e-06 4.645873e-02)
0.159315      	(3.054159e-06 5.358062e-06 6.381301e-01)	(-4.725867e-06 9.168397e-08 5.940174e-01)	(7.780026e-06 5.266378e-06 4.411271e-02)
0.17157       	(3.312376e-06 5.585748e-06 6.305674e-01)	(-4.475254e-06 4.210086e-07 5.885228e-01)	(7.787630e-06 5.164740e-06 4.204459e-02)
0.183825      	(3.124515e-06 5.541463e-06 6.221995e-01)	(-4.654595e-06 4.651289e-07 5.820048e-01)	(7.779110e-06 5.076334e-06 4.019470e-02)
0.19608       	(3.044941e-06 5.655217e-06 6.149429e-01)	(-4.708984e-06 6.610159e-07 5.764161e-01)	(7.753925e-06 4.994201e-06 3.852679e-02)
0.208335      	(2.985552e-06 5.759969e-06 6.086999e-01)	(-4.737091e-06 8.442394e-07 5.716861e-01)	(7.722643e-06 4.915730e-06 3.701386e-02)
0.22059       	(2.890639e-06 5.809727e-06 6.032592e-01)	(-4.788534e-06 9.675653e-07 5.676261e-01)	(7.679172e-06 4.842162e-06 3.563308e-02)
0.232845      	(2.496835e-06 5.612538e-06 5.975587e-01)	(-5.110068e-06 8.615042e-07 5.631971e-01)	(7.606903e-06 4.751034e-06 3.436162e-02)
0.2451        	(2.405966e-06 5.602520e-06 5.934399e-01)	(-5.133182e-06 9.262315e-07 5.602452e-01)	(7.539148e-06 4.676289e-06 3.319466e-02)
0.257355      	(2.384038e-06 5.674568e-06 5.898363e-01)	(-5.093780e-06 1.057123e-06 5.577186e-01)	(7.477817e-06 4.617444e-06 3.211768e-02)
0.26961       	(2.312156e-06 5.692110e-06 5.864906e-01)	(-5.097281e-06 1.130816e-06 5.553743e-01)	(7.409437e-06 4.561295e-06 3.111630e-02)
0.281865      	(2.311957e-06 5.824124e-06 5.835894e-01)	(-5.029119e-06 1.312028e-06 5.534040e-01)	(7.341076e-06 4.512096e-06 3.018544e-02)
0.29412       	(2.326919e-06 5.940560e-06 5.810179e-01)	(-4.947570e-06 1.473503e-06 5.516997e-01)	(7.274488e-06 4.467057e-06 2.931823e-02)
0.306375      	(2.249747e-06 5.984800e-06 5.786173e-01)	(-4.958570e-06 1.563512e-06 5.501098e-01)	(7.208317e-06 4.421288e-06 2.850753e-02)
0.31863       	(2.229056e-06 6.042378e-06 5.764235e-01)	(-4.916075e-06 1.660885e-06 5.486751e-01)	(7.145131e-06 4.381493e-06 2.774840e-02)
0.330885      	(2.214662e-06 6.135246e-06 5.743671e-01)	(-4.868216e-06 1.788190e-06 5.473311e-01)	(7.082878e-06 4.347056e-06 2.703595e-02)
0.34314       	(2.189907e-06 6.238730e-06 5.724831e-01)	(-4.826978e-06 1.927744e-06 5.461171e-01)	(7.016884e-06 4.310986e-06 2.636595e-02)
0.355395      	(2.157778e-06 6.267564e-06 5.706711e-01)	(-4.794114e-06 1.993801e-06 5.449362e-01)	(6.951892e-06 4.273762e-06 2.573490e-02)
0.36765       	(2.114940e-06 6.329141e-06 5.689291e-01)	(-4.792912e-06 2.056224e-06 5.437898e-01)	(6.907852e-06 4.272917e-06 2.513932e-02)
0.379905      	(2.082412e-06 6.383963e-06 5.672783e-01)	(-4.790371e-06 2.106154e-06 5.427019e-01)	(6.872783e-06 4.277808e-06 2.457632e-02)
